구분,명칭,일시,시간,장소,요금,주최,문의,출처,링크
전시,2026 아트페스타인제주,2026-10-06 ~ 2026-11-01,,예술공간 이아 전시실,,제주시청,,재단 대관선정,https://www.jfac.kr/notification/notice/19722
전시,감각은 늘 조금 늦게 Always Slightly Late,2026-09-08 ~ 2026-10-04,,예술공간 이아 전시실,,장숙경,,재단 대관선정,https://www.jfac.kr/notification/notice/19722
전시,제주신화전 - 다시 여는 열두본풀이,2026-08-25 ~ 2026-09-06,,산지천갤러리 2-3F,,제주문화포럼,,재단 대관선정,https://www.jfac.kr/notification/notice/19722
전시,김현길 개인전 마을의 기록 마음의 기록,2026-09-08 ~ 2026-09-20,,예술공간 이아 전시실,,김현길,,재단 대관선정,https://www.jfac.kr/notification/notice/19722
전시,한승희展 각자도생 刻字陶生 2026,2026-09-22 ~ 2026-10-04,,예술공간 이아 전시실,,한승희,,재단 대관선정,https://www.jfac.kr/notification/notice/19722
전시,김화희·정수연 제주 서귀포 그리고 민화展,2026-08-25 ~ 2026-09-06,10:00-18:00 (월요일 휴관),산지천갤러리 2-3F,무료,제주문화예술재단,,재단 공고,https://www.jfac.kr/notification/notice/20408
축제·행사,모영: 각자 할 거 하는 모임,2026-09-02 ~ 2026-09-30,매주 수요일 19:00~22:00,청년다락 5호점 (제주시 노형11길 5-6),무료,제주청년센터,,인스타(제주청년센터),https://www.instagram.com/jeju_youthcenter/
축제·행사,김만덕 아카데미 2기,2026-09-02 ~ 2026-09-10,14:00~16:00 (9/2·3·9·10),김만덕기념관 2층 세미나실,무료,김만덕기념관,,인스타(김만덕기념관),https://www.instagram.com/mandukmuseum_official/
축제·행사,JEJU RUN & PLAY 스쿠버다이빙,2026-08-29 ~ 2026-09-19,매주 토요일 09:00~12:00,사수항 (제주시),,제주청년센터,,인스타(제주청년센터),https://www.instagram.com/jeju_youthcenter/
축제·행사,JEJU RUN & PLAY 농구,2026-08-19 ~ 2026-11-18,,EDK 스포츠클럽 (제주시 일주동로 460),,제주청년센터,,인스타(제주청년센터),https://www.instagram.com/jeju_youthcenter/
