번호,공간명,유형,지역,자동수집,인스타계정,팔로워,연락,상태,비고
1,책방소리소문,독립서점,한경면,,,,,미확인,
2,제주 풀무질,독립서점,구좌읍,,,,,미확인,
3,라바북스,독립서점,남원읍,,,,,미확인,
4,책방무사,독립서점,성산읍,,,,,미확인,
5,소심한 책방,독립서점,성산읍,,,,,미확인,
6,아무튼 책방,독립서점,제주시,,,,,미확인,
7,만춘서점,독립서점,조천읍,,,,,미확인,
8,북살롱 이마고,독립서점,제주시,,,,,미확인,
9,제주살롱,독립서점,제주시,,,,,미확인,
10,세이레아트센터,소극장,제주시,O,,,,자동수집중,이미 다른 소스로 들어옴 — 인스타 불필요
11,이디홀,공연장,제주시,O,,,,자동수집중,이미 다른 소스로 들어옴 — 인스타 불필요
12,두근두근씨어터,극단,제주시,,,,,미확인,
13,극단 세이레,극단,제주시,O,,,,자동수집중,이미 다른 소스로 들어옴 — 인스타 불필요
14,놀이패 한라산,극단,제주시,O,,,,자동수집중,이미 다른 소스로 들어옴 — 인스타 불필요
15,문화공간 양,전시공간,제주시,O,,,,자동수집중,이미 다른 소스로 들어옴 — 인스타 불필요
16,새탕라움,전시공간,제주시,,,,,미확인,
17,미술관옆집,레지던시,제주시,,,,,미확인,
18,예술곶 산양,문화공간,한림읍,,,,,미확인,
19,갤러리레미콘,갤러리,제주시,O,,,,자동수집중,이미 다른 소스로 들어옴 — 인스타 불필요
20,예술공간 이아,문화공간,제주시,O,,,,자동수집중,이미 다른 소스로 들어옴 — 인스타 불필요
21,산지천갤러리,갤러리,제주시,O,,,,자동수집중,이미 다른 소스로 들어옴 — 인스타 불필요
22,제주아트플랫폼,문화공간,제주시,,,,,미확인,
23,저지문화예술인마을,문화지구,한경면,O,,,,자동수집중,이미 다른 소스로 들어옴 — 인스타 불필요
24,제주문학관,문학관,제주시,O,,,,자동수집중,이미 다른 소스로 들어옴 — 인스타 불필요
25,제주소통협력센터,복합공간,제주시,O,,,,자동수집중,이미 다른 소스로 들어옴 — 인스타 불필요
26,제주더큰내일센터,복합공간,제주시,O,,,,자동수집중,이미 다른 소스로 들어옴 — 인스타 불필요
27,제주청년센터,청년공간,제주시,,,,,미확인,
28,들랑 제주,카페·복합공간,제주시,,,,,미확인,
29,벵가스테이,스테이,성산읍,O,,,,자동수집중,이미 다른 소스로 들어옴 — 인스타 불필요
30,9.81파크,체험공간,애월읍,O,,,,자동수집중,이미 다른 소스로 들어옴 — 인스타 불필요
31,제주호은아트센터,공연장,제주시,,,,,미확인,
32,김택화미술관,미술관,조천읍,O,,,,자동수집중,이미 다른 소스로 들어옴 — 인스타 불필요
33,제주현대미술관,미술관,한경면,O,,,,자동수집중,이미 다른 소스로 들어옴 — 인스타 불필요
34,제주도립미술관,미술관,제주시,O,,,,자동수집중,이미 다른 소스로 들어옴 — 인스타 불필요
35,기당미술관,미술관,서귀포시,O,,,,자동수집중,이미 다른 소스로 들어옴 — 인스타 불필요
36,소암기념관,기념관,서귀포시,O,,,,자동수집중,이미 다른 소스로 들어옴 — 인스타 불필요
37,김창열미술관,미술관,한림읍,O,,,,자동수집중,이미 다른 소스로 들어옴 — 인스타 불필요
38,제주해녀박물관,박물관,구좌읍,O,,,,자동수집중,이미 다른 소스로 들어옴 — 인스타 불필요
39,김만덕기념관,기념관,제주시,,,,,미확인,
40,제주칠머리당영등굿전수관,전수관,제주시,O,,,,자동수집중,이미 다른 소스로 들어옴 — 인스타 불필요
